ID Mass_mu Mass_std
"Gaia DR2 5618334238462079872" 1.3401164452918337 0.08331308205129007
"Gaia DR2 5618522048788754432" 1.3989143142518334 0.08749144057374322
"Gaia DR2 5616832958409107072" 1.4265271854608061 0.08925583212129275
"Gaia DR2 5616831824537713152" 1.28610107336082 0.08000915626655762
"Gaia DR2 5617021077976592000" 1.3806781581334329 0.08583156843296386
"Gaia DR2 5618335063095761920" 1.4372289853209028 0.0896718646801791
"Gaia DR2 5617020218983165440" 1.366447640459058 0.0850532089260466
"Gaia DR2 5618334444620512512" 2.195784503088421 0.2393216766097452
"Gaia DR2 5618522559878166400" 6.088641531390579 0.7336564767793128
"Gaia DR2 5618522186227583616" 1.6889305682259983 0.12627466695974596
"Gaia DR2 5618522083148429824" 1.3293891207262911 0.08289947117187894
"Gaia DR2 5617020803098683904" 2.720668800643176 0.30096707165558806
"Gaia DR2 5618522151867864320" 3.4216068332946072 0.37946358201666097
"Gaia DR2 5618334272821836800" 1.7577840933978535 0.1430483001390536
"Gaia DR2 5618522770343110016" 3.48034184305626 0.38533937330159984
"Gaia DR2 5618333894864644096" 3.2343655895466767 0.35758407437878076
"Gaia DR2 5618522083148429696" 1.3996500117464326 0.0872817638964619
"Gaia DR2 5618333963584122112" 2.8948255929722335 0.3203789106562639
"Gaia DR2 5618334822577626880" 1.8160354366446134 0.15743865700845575
"Gaia DR2 5618334856937344384" 4.491929084301165 0.4991868047580291
"Gaia DR2 5618334169742596096" 1.8077457680433915 0.16011864682483296
"Gaia DR2 5618334856937349120" 2.385593152908628 0.26491390568629397
"Gaia DR2 5618333997943929088" 3.8452581223596924 0.42691347322919976
"Gaia DR2 5618334204102344960" 3.6545610315149704 0.40532110635933855
"Gaia DR2 5618523113940585984" 2.0573327362354434 0.21214580846928136
"Gaia DR2 5618522289306857216" 1.1890393356573619 0.07571372237593857
"Gaia DR2 5618524213452099840" 2.431984191364439 0.2720134026363162
"Gaia DR2 5618333207669934720" 1.1902288665975225 0.07563062387073358
"Gaia DR2 5618334478980408064" 3.8180799530259018 0.42347245087292007
"Gaia DR2 5618334822577621504" 2.1035152488864606 0.22294429883794878
"Gaia DR2 5618334032303664256" 2.8664548452527545 0.3195630458872394
"Gaia DR2 5618522254947071360" 2.3802850399254054 0.26920534415443653
"Gaia DR2 5618522804702842496" 1.5448146759143218 0.10044066910063329
"Gaia DR2 5616832477372781952" 1.3552294977898278 0.08429674212076366
"Gaia DR2 5618334032303661056" 5.093247717159922 0.5699815366526436
"Gaia DR2 5618334410260781056" 4.901202747423134 0.545879064875955
"Gaia DR2 5617021352854536192" 3.111947748005576 0.34283833905693767
"Gaia DR2 5618333551267279104" 1.617417952500195 0.11008206902027948
"Gaia DR2 5618524213452098944" 1.421633556753157 0.08882193716013569
"Gaia DR2 5618336295738670976" 1.1615088195124295 0.07450781938781044
"Gaia DR2 5616831927616916736" 1.8784546926614394 0.17128793427392627
"Gaia DR2 5618334101023141760" 3.796386685257511 0.42182450383922293
"Gaia DR2 5618333310749143296" 2.505637035537266 0.27786342209569603
"Gaia DR2 5618332932792161024" 1.315009803224307 0.08216702845956284
"Gaia DR2 5618522426745786112" 1.8110297662557397 0.15576250136223668
"Gaia DR2 5618334582059438336" 1.4913254084361711 0.094500938305528
"Gaia DR2 5616833057186231424" 7.850753152797701 1.3015276172863588
"Gaia DR2 5618334582059433856" 4.273315489773308 0.474769676025964
"Gaia DR2 5618334822577627520" 1.807260534486004 0.1551382097355555
"Gaia DR2 5618334822577619712" 1.5186796124615063 0.09680119078352555
"Gaia DR2 5618334994376277120" 3.1772165625973052 0.35120808037985346
"Gaia DR2 5616832820970127744" 1.1863266785778512 0.07531036243723928
"Gaia DR2 5616831652739008000" 4.134439848253061 0.4588596064495858
"Gaia DR2 5618522426745785088" 4.88870278957319 0.5447016414750306
"Gaia DR2 5618329977854520320" 3.3397709026262077 0.3688728318295946
"Gaia DR2 5618334375901048320" 2.892614157128012 0.32268836689869945
"Gaia DR2 5616832580451998208" 1.812897885369472 0.15615432441025603
"Gaia DR2 5617021009257127552" 1.526737977338507 0.09732302856561763
"Gaia DR2 5618524213452102656" 1.7083264478804487 0.1326651004999925
