# Subset of stars selected as members
ID Mag Col Mass_mu Mass_std Mass_binar_mu Mass_binar_std P_binar
"Gaia DR2 5290770586163654656" 9.56942 0.33479 2.57454 0.06496 2.25810 0.09866 0.72
"Gaia DR2 5290816800011540992" 9.57458 0.13777 2.58689 0.06489 2.19338 0.09451 0.13
"Gaia DR2 5290949566038905984" 9.60802 0.11102 2.56365 0.06414 2.18486 0.09089 0.20
"Gaia DR2 5290821060618951296" 9.62176 0.17211 2.54850 0.06384 2.18204 0.09301 0.21
"Gaia DR2 5290816147171750272" 9.62975 0.34419 2.52740 0.06344 2.20398 0.10181 0.73
"Gaia DR2 5290724200516244608" 9.64871 0.25533 2.52109 0.06304 2.18684 0.09749 0.80
"Gaia DR2 5290725265668145664" 9.65084 0.12901 2.53006 0.06279 2.18010 0.09330 0.16
"Gaia DR2 5291137857405153792" 9.70183 0.20094 2.48645 0.06172 2.18354 0.09670 0.33
"Gaia DR2 5290816318975199744" 9.70315 0.18236 2.48691 0.06154 2.18537 0.09610 0.20
"Gaia DR2 5289976085932146560" 9.70947 0.15736 2.48464 0.06173 2.18528 0.09634 0.12
"Gaia DR2 5290723685120164096" 9.79180 0.40070 2.40096 0.05986 2.04631 0.08821 0.72
"Gaia DR2 5290722345090384768" 9.83146 0.31076 2.38046 0.05909 2.10030 0.09603 0.89
"Gaia DR2 5290825836622877440" 9.85252 0.22024 2.37412 0.05834 2.16574 0.06539 0.30
"Gaia DR2 5290772201071458944" 9.86643 0.15167 2.37049 0.05772 2.17422 0.06109 0.15
"Gaia DR2 5290721383017776896" 9.87512 0.32941 2.34719 0.05814 2.05848 0.09411 0.90
"Gaia DR2 5290921975169123712" 9.91199 0.22409 2.33108 0.05725 2.14412 0.05251 0.26
"Gaia DR2 5290763611136930176" 9.91438 0.21576 2.33040 0.05711 2.14447 0.05225 0.21
"Gaia DR2 5290724337955116672" 9.95831 0.21624 2.29968 0.05562 2.12264 0.04953 0.17
"Gaia DR2 5290708291951869312" 9.98423 0.26465 2.27677 0.05510 2.10213 0.04882 0.45
"Gaia DR2 5290901290606131584" 10.02494 0.19888 2.25563 0.05376 2.09260 0.04638 0.09
"Gaia DR2 5290722035852820736" 10.06933 0.22209 2.22352 0.05248 2.06453 0.04644 0.12
"Gaia DR2 5290929877908984704" 10.09895 0.26783 2.19908 0.05179 2.04227 0.04455 0.34
"Gaia DR2 5290009621036840064" 10.11292 0.20696 2.19665 0.05122 2.04395 0.04432 0.10
"Gaia DR2 5290829410035301376" 10.11336 0.26664 2.18980 0.05143 2.03514 0.04506 0.31
"Gaia DR2 5290725437466835840" 10.15846 0.22378 2.16554 0.04986 2.01814 0.04536 0.09
"Gaia DR2 5290398951232592384" 10.16127 0.21563 2.16477 0.04982 2.01756 0.04555 0.09
"Gaia DR2 5290739662398290432" 10.16636 0.26666 2.15573 0.04981 2.00787 0.04441 0.25
"Gaia DR2 5290769658450722816" 10.18177 0.26615 2.14618 0.04948 1.99947 0.04358 0.23
"Gaia DR2 5290816112816893056" 10.19561 0.58465 2.09893 0.04997 1.75430 0.04165 0.71
"Gaia DR2 5290671286515026304" 10.22384 0.28803 2.11736 0.04835 1.97522 0.04256 0.32
"Gaia DR2 5289697497169250176" 10.22966 0.23470 2.12009 0.04807 1.97949 0.04328 0.09
"Gaia DR2 5291027871882168576" 10.23715 0.22745 2.11631 0.04784 1.97687 0.04310 0.10
"Gaia DR2 5290838274842249984" 10.25114 0.24258 2.10609 0.04742 1.96846 0.04199 0.09
"Gaia DR2 5290895518170546816" 10.25129 0.29373 2.09993 0.04761 1.96208 0.04230 0.32
"Gaia DR2 5290747084103123712" 10.28050 0.27639 2.08443 0.04678 1.95082 0.04085 0.18
"Gaia DR2 5291009523782112640" 10.29385 0.25156 2.07961 0.04636 1.94723 0.04069 0.09
"Gaia DR2 5290636583183684992" 10.29718 0.43734 2.05472 0.04664 1.85641 0.06148 0.93
"Gaia DR2 5290722379450124672" 10.30875 0.55855 2.03231 0.04663 1.72222 0.04323 0.78
"Gaia DR2 5291032613526130048" 10.33360 0.27963 2.05299 0.04531 1.92607 0.03883 0.14
"Gaia DR2 5290669431093618816" 10.33776 0.27067 2.05157 0.04523 1.92538 0.03897 0.11
"Gaia DR2 5290749386201860480" 10.33823 0.53349 2.01810 0.04589 1.72166 0.04389 0.84
"Gaia DR2 5289989692388398080" 10.35751 0.29435 2.03734 0.04459 1.91429 0.03948 0.19
"Gaia DR2 5290642694916327424" 10.36224 0.33758 2.02925 0.04465 1.90614 0.03882 0.44
"Gaia DR2 5290814463549522048" 10.37356 0.33111 2.02373 0.04421 1.90213 0.03878 0.39
"Gaia DR2 5291102123276830592" 10.40940 0.26026 2.01251 0.04333 1.89512 0.03797 0.10
"Gaia DR2 5290923143397680640" 10.43146 0.27843 1.99806 0.04289 1.88343 0.03718 0.09
"Gaia DR2 5290943072048101376" 10.45170 0.31379 1.98255 0.04240 1.87054 0.03727 0.18
"Gaia DR2 5290672695264349184" 10.46505 0.32695 1.97379 0.04202 1.86389 0.03754 0.23
"Gaia DR2 5290654244089553536" 10.53016 0.33441 1.93863 0.04025 1.83517 0.03662 0.18
"Gaia DR2 5290809687541511040" 10.55484 0.34831 1.92423 0.03968 1.82310 0.03680 0.22
"Gaia DR2 5290721760974905088" 10.56023 0.39961 1.91465 0.03956 1.81300 0.03665 0.51
"Gaia DR2 5290737119777616640" 10.57646 0.36933 1.91058 0.03913 1.81245 0.03602 0.31
"Gaia DR2 5290112150492624512" 10.59056 0.34065 1.90751 0.03857 1.81107 0.03594 0.14
"Gaia DR2 5289950487924058752" 10.61322 0.35780 1.89410 0.03796 1.79929 0.03689 0.19
"Gaia DR2 5291055462752429440" 10.61413 0.34549 1.89541 0.03801 1.80098 0.03761 0.13
"Gaia DR2 5289506319588545536" 10.62739 0.56845 1.85807 0.03788 1.65907 0.05020 0.93
"Gaia DR2 5289893004083666304" 10.63377 0.34936 1.88555 0.03750 1.79189 0.03697 0.13
"Gaia DR2 5290743682487671552" 10.63770 0.37156 1.88069 0.03745 1.78767 0.03691 0.22
"Gaia DR2 5290776908350801664" 10.66276 0.40332 1.86458 0.03674 1.77171 0.03881 0.36
"Gaia DR2 5290030339954374912" 10.68040 0.34168 1.86482 0.03626 1.77575 0.03869 0.09
"Gaia DR2 5290901290606134656" 10.69148 0.40607 1.85109 0.03595 1.76067 0.03878 0.33
"Gaia DR2 5290770276926009600" 10.69326 0.47986 1.84001 0.03594 1.74498 0.03839 0.72
"Gaia DR2 5289877748360039168" 10.69950 0.44016 1.84276 0.03577 1.75170 0.03811 0.50
