# Subset of stars selected as members
ID Mag Col Mass_mu Mass_std Mass_binar_mu Mass_binar_std P_binar
"Gaia DR2 5289987115408111360" 12.05809 0.80855 1.36788 0.02096 1.30160 0.03216 0.39
"Gaia DR2 5290039720167307264" 12.05828 0.68332 1.37478 0.02116 1.31624 0.02554 0.28
"Gaia DR2 5291047968031896576" 12.05859 0.75407 1.37077 0.02123 1.30934 0.02753 0.12
"Gaia DR2 5290824290434649344" 12.06675 0.80695 1.36581 0.02086 1.29981 0.03245 0.36
"Gaia DR2 5289790642124240512" 12.07384 0.77740 1.36556 0.02087 1.30251 0.03001 0.16
"Gaia DR2 5290777522534884864" 12.07809 0.77949 1.36443 0.02106 1.30144 0.02962 0.17
"Gaia DR2 5290722310730727040" 12.08416 0.77624 1.36290 0.02106 1.30014 0.02972 0.15
"Gaia DR2 5289718078656029312" 12.08566 0.73697 1.36473 0.02100 1.30460 0.02754 0.17
"Gaia DR2 5290772269790935808" 12.08762 0.90272 1.35547 0.02070 1.24901 0.04382 0.87
"Gaia DR2 5289446774160819712" 12.10690 0.82744 1.35433 0.02085 1.28624 0.03407 0.45
"Gaia DR2 5290816486474806912" 12.10907 0.77516 1.35658 0.02083 1.29461 0.03045 0.13
"Gaia DR2 5290952074299736704" 12.11867 0.75131 1.35530 0.02086 1.29562 0.02687 0.15
"Gaia DR2 5290715507502414592" 12.12013 0.79988 1.35240 0.02068 1.28847 0.03085 0.23
"Gaia DR2 5290712449485868928" 12.12062 0.79564 1.35252 0.02070 1.28875 0.03078 0.20
"Gaia DR2 5289931177754324864" 12.12530 0.77727 1.35221 0.02068 1.29056 0.02868 0.13
"Gaia DR2 5290931561536172416" 12.14020 0.76940 1.34885 0.02053 1.28869 0.02731 0.12
"Gaia DR2 5291256776460093696" 12.14256 0.79230 1.34702 0.02070 1.28511 0.02883 0.17
"Gaia DR2 5290830097230075904" 12.14480 0.76262 1.34799 0.02068 1.28834 0.02675 0.14
"Gaia DR2 5291035426727395328" 12.14726 0.91261 1.33981 0.02043 1.23718 0.03891 0.87
"Gaia DR2 5290767562500539392" 12.15297 0.85673 1.34110 0.02033 1.27008 0.03456 0.60
"Gaia DR2 5290011373383335168" 12.15461 0.74931 1.34618 0.02074 1.28755 0.02649 0.18
"Gaia DR2 5290797386759788928" 12.18060 0.86448 1.33361 0.02014 1.26294 0.03428 0.61
"Gaia DR2 5290735779747993088" 12.18848 0.92111 1.32883 0.02016 1.22783 0.03886 0.87
"Gaia DR2 5290816353334936576" 12.19546 0.81191 1.33262 0.02032 1.27024 0.02857 0.21
"Gaia DR2 5290768215341699200" 12.19707 0.79295 1.33315 0.02021 1.27247 0.02750 0.13
"Gaia DR2 5290655549759622144" 12.19799 0.78171 1.33340 0.02019 1.27338 0.02684 0.12
"Gaia DR2 5291074017011442176" 12.20315 0.96270 1.32322 0.02002 1.19577 0.02839 0.85
"Gaia DR2 5290820064186534144" 12.22131 0.77733 1.32776 0.02014 1.26869 0.02587 0.14
"Gaia DR2 5290766252535812224" 12.22953 0.83166 1.32313 0.02013 1.25978 0.02951 0.30
"Gaia DR2 5290765565341001984" 12.25626 0.92162 1.31194 0.01987 1.22577 0.03637 0.84
"Gaia DR2 5290689084863589248" 12.25773 0.83786 1.31588 0.01990 1.25286 0.02922 0.30
"Gaia DR2 5290435716152603008" 12.25875 0.78213 1.31807 0.01997 1.26018 0.02495 0.14
"Gaia DR2 5290782023655716736" 12.27295 0.77696 1.31497 0.01998 1.25765 0.02450 0.16
"Gaia DR2 5291187365490141440" 12.28914 0.85261 1.30738 0.01983 1.24468 0.02830 0.37
"Gaia DR2 5291048384646003968" 12.28938 0.78771 1.31026 0.01979 1.25366 0.02380 0.14
"Gaia DR2 5290713445918198528" 12.29171 0.88949 1.30487 0.01963 1.23666 0.03137 0.63
"Gaia DR2 5290798692429758976" 12.29280 0.78875 1.30936 0.01970 1.25295 0.02314 0.14
"Gaia DR2 5290026762248360960" 12.29366 0.78360 1.30940 0.01971 1.25316 0.02310 0.16
"Gaia DR2 5290709357109480704" 12.30015 0.88160 1.30306 0.01964 1.23792 0.03010 0.57
"Gaia DR2 5290826936134381440" 12.30083 0.80423 1.30674 0.01983 1.24953 0.02472 0.12
"Gaia DR2 5290723204083832448" 12.31162 0.83136 1.30262 0.01955 1.24319 0.02638 0.19
"Gaia DR2 5290001787016179328" 12.31847 0.77743 1.30366 0.01970 1.24871 0.02232 0.19
"Gaia DR2 5290888062107313152" 12.33136 0.90787 1.29408 0.01941 1.22623 0.03091 0.70
"Gaia DR2 5290708601194720384" 12.34037 0.89290 1.29277 0.01944 1.22851 0.02938 0.59
"Gaia DR2 5290874829311320832" 12.34530 0.80332 1.29587 0.01950 1.24087 0.02397 0.13
"Gaia DR2 5289804459038767232" 12.35201 0.81731 1.29350 0.01941 1.23872 0.02316 0.12
"Gaia DR2 5290741208586484352" 12.35362 0.84380 1.29199 0.01946 1.23474 0.02571 0.22
"Gaia DR2 5291030448862535808" 12.35453 0.79914 1.29365 0.01944 1.23984 0.02285 0.15
"Gaia DR2 5290824320493640576" 12.36557 0.82779 1.28989 0.01933 1.23444 0.02355 0.14
"Gaia DR2 5290737188497096064" 12.36939 0.81055 1.28975 0.01930 1.23548 0.02294 0.13
"Gaia DR2 5289773805858297344" 12.38373 0.91925 1.28117 0.01917 1.21550 0.03014 0.71
"Gaia DR2 5290001920155452800" 12.39695 0.92660 1.27746 0.01904 1.21113 0.03071 0.74
"Gaia DR2 5290004909454899840" 12.39722 0.83932 1.28166 0.01922 1.22782 0.02325 0.15
"Gaia DR2 5288288850978339584" 12.40553 0.87557 1.27788 0.01906 1.22088 0.02491 0.37
"Gaia DR2 5290822572447442176" 12.42003 1.00394 1.26844 0.01899 1.16027 0.03131 0.85
"Gaia DR2 5290832051434754176" 12.42443 0.77729 1.27800 0.01907 1.22778 0.02085 0.25
"Gaia DR2 5290770345645486976" 12.43073 0.84074 1.27363 0.01901 1.22094 0.02320 0.13
"Gaia DR2 5289940145646342784" 12.43214 0.80522 1.27487 0.01908 1.22425 0.02132 0.17
"Gaia DR2 5290672179872595840" 12.46694 0.91120 1.26164 0.01876 1.20616 0.02847 0.55
"Gaia DR2 5290715365765596800" 12.48060 0.88375 1.25987 0.01873 1.20759 0.02672 0.32
"Gaia DR2 5290924345991094400" 12.48184 0.83217 1.26181 0.01874 1.21283 0.02194 0.13
"Gaia DR2 5290691588824895360" 12.49272 0.88665 1.25686 0.01862 1.20566 0.02610 0.33
"Gaia DR2 5290725677984929152" 12.49782 0.81862 1.25879 0.01865 1.21154 0.02158 0.17
"Gaia DR2 5290991347480505600" 12.50787 0.84164 1.25541 0.01862 1.20801 0.02257 0.13
"Gaia DR2 5290725231308404864" 12.52364 0.86399 1.25075 0.01843 1.20323 0.02350 0.15
"Gaia DR2 5290722276370987648" 12.54205 0.86344 1.24640 0.01830 1.19992 0.02373 0.14
"Gaia DR2 5290742857853957504" 12.54306 0.85721 1.24645 0.01832 1.20030 0.02341 0.12
"Gaia DR2 5289995494884385280" 12.54612 0.84497 1.24631 0.01831 1.20069 0.02321 0.13
"Gaia DR2 5290720657163454080" 12.56186 0.87944 1.24123 0.01820 1.19454 0.02652 0.19
"Gaia DR2 5289801401021895552" 12.56516 0.87046 1.24088 0.01813 1.19543 0.02526 0.14
"Gaia DR2 5290985364587849088" 12.57178 1.00108 1.23332 0.01786 1.15179 0.03732 0.87
"Gaia DR2 5290697709157756160" 12.59857 0.91644 1.23127 0.01774 1.18451 0.02814 0.39
"Gaia DR2 5290669873469360512" 12.60008 0.89452 1.23199 0.01783 1.18715 0.02601 0.23
"Gaia DR2 5290730106091599104" 12.61043 0.86810 1.23077 0.01774 1.18813 0.02535 0.12
"Gaia DR2 5289992574306636672" 12.61548 0.93683 1.22669 0.01758 1.17785 0.03052 0.52
"Gaia DR2 5289795525506757632" 12.61701 0.85170 1.23004 0.01775 1.18833 0.02501 0.15
"Gaia DR2 5290826558177392640" 12.62203 0.87850 1.22784 0.01762 1.18509 0.02595 0.13
"Gaia DR2 5290775190368696320" 12.62403 0.88858 1.22698 0.01762 1.18362 0.02681 0.17
"Gaia DR2 5290885863084040704" 12.62759 0.86012 1.22744 0.01758 1.18583 0.02519 0.13
"Gaia DR2 5289898020605414016" 12.63486 0.88626 1.22458 0.01746 1.18214 0.02684 0.15
"Gaia DR2 5290815253823430912" 12.64574 0.94375 1.21972 0.01729 1.17044 0.03238 0.52
"Gaia DR2 5290810370439846016" 12.66033 0.88291 1.21935 0.01730 1.17651 0.02832 0.12
"Gaia DR2 5289799923553136896" 12.66582 0.88339 1.21812 0.01722 1.17546 0.02842 0.12
"Gaia DR2 5290721864054120320" 12.68532 0.99221 1.20917 0.01701 1.14579 0.03776 0.76
"Gaia DR2 5289916952822778880" 12.69658 0.88199 1.21164 0.01703 1.16889 0.02962 0.12
"Gaia DR2 5289890495822656640" 12.70977 0.92288 1.20705 0.01706 1.16032 0.03094 0.26
"Gaia DR2 5290823568880135296" 12.72405 0.92180 1.20405 0.01710 1.15646 0.03088 0.23
"Gaia DR2 5290816353334937216" 12.73801 0.88371 1.20282 0.01700 1.15827 0.03101 0.13
"Gaia DR2 5289972031483161600" 12.75391 0.89853 1.19871 0.01724 1.15233 0.03116 0.12
"Gaia DR2 5291029658588623488" 12.75514 0.84985 1.20067 0.01717 1.15833 0.03094 0.23
"Gaia DR2 5291232621564434304" 12.77893 0.84150 1.19604 0.01726 1.15307 0.03118 0.26
"Gaia DR2 5290000069029332736" 12.78408 0.86785 1.19382 0.01743 1.14819 0.03161 0.20
"Gaia DR2 5290720042987976576" 12.79657 0.91970 1.18899 0.01744 1.13876 0.03222 0.14
"Gaia DR2 5290027625539444224" 12.80569 0.86975 1.18914 0.01747 1.14227 0.03159 0.20
"Gaia DR2 5291458708641729920" 12.80691 0.91733 1.18685 0.01748 1.13617 0.03190 0.12
"Gaia DR2 5290747977456314880" 12.81589 0.88043 1.18647 0.01753 1.13854 0.03211 0.17
"Gaia DR2 5290754643245585792" 12.81643 0.90221 1.18546 0.01760 1.13563 0.03193 0.12
"Gaia DR2 5290640328395589120" 12.81967 0.93774 1.18318 0.01771 1.12978 0.03237 0.20
"Gaia DR2 5290797970875348352" 12.82595 0.88244 1.18423 0.01770 1.13536 0.03225 0.17
"Gaia DR2 5289947739148461440" 12.83188 0.86370 1.18377 0.01769 1.13595 0.03241 0.23
"Gaia DR2 5290920325901674240" 12.83564 0.91805 1.18058 0.01767 1.12816 0.03183 0.11
"Gaia DR2 5290007112775924992" 12.83721 0.88677 1.18164 0.01775 1.13217 0.03176 0.17
"Gaia DR2 5290728834785867264" 12.83823 0.90012 1.18083 0.01770 1.13003 0.03180 0.13
"Gaia DR2 5290756361232528768" 12.83973 0.88487 1.18119 0.01768 1.13166 0.03170 0.17
"Gaia DR2 5290660738079873408" 12.84811 0.91740 1.17801 0.01773 1.12541 0.03134 0.11
"Gaia DR2 5290666854113227136" 12.84906 0.93070 1.17727 0.01766 1.12335 0.03094 0.14
"Gaia DR2 5290032092305523584" 12.86313 0.88600 1.17602 0.01778 1.12525 0.03141 0.18
"Gaia DR2 5289932277265953280" 12.87632 0.92845 1.17136 0.01773 1.11710 0.03006 0.12
"Gaia DR2 5290737669533445248" 12.87763 0.89416 1.17254 0.01773 1.12063 0.03048 0.17
"Gaia DR2 5290715954179096320" 12.88049 0.97379 1.16855 0.01774 1.10968 0.02973 0.34
"Gaia DR2 5290636377025252864" 12.88812 1.01831 1.16500 0.01776 1.09977 0.03081 0.62
"Gaia DR2 5290707948359695488" 12.90046 0.97795 1.16389 0.01770 1.10463 0.02960 0.34
"Gaia DR2 5290667541308087168" 12.90146 0.91819 1.16634 0.01764 1.11239 0.02921 0.12
"Gaia DR2 5289898329843059584" 12.90605 1.07485 1.15864 0.01760 1.07426 0.02913 0.84
"Gaia DR2 5290724715912323840" 12.91953 0.93902 1.16156 0.01759 1.10561 0.02898 0.12
"Gaia DR2 5290802197122984192" 12.91970 0.85513 1.16516 0.01759 1.11373 0.03011 0.27
"Gaia DR2 5290650052201575040" 12.92021 0.92907 1.16185 0.01760 1.10631 0.02907 0.11
"Gaia DR2 5290820785740950656" 12.92898 0.89748 1.16133 0.01757 1.10726 0.02891 0.18
"Gaia DR2 5290841057986430336" 12.92932 0.89310 1.16144 0.01758 1.10791 0.02899 0.20
"Gaia DR2 5291555117768650496" 12.94015 0.78905 1.16344 0.01753 1.11488 0.03094 0.35
"Gaia DR2 5289845518925415808" 12.94778 0.94726 1.15514 0.01735 1.09807 0.02745 0.13
"Gaia DR2 5290652938419483904" 12.95791 0.93951 1.15330 0.01742 1.09682 0.02723 0.11
"Gaia DR2 5290824530952816896" 12.95879 0.90357 1.15466 0.01726 1.10062 0.02788 0.18
"Gaia DR2 5290664861248309760" 12.96205 0.94280 1.15229 0.01732 1.09571 0.02734 0.11
"Gaia DR2 5290782062316848896" 12.96532 0.92003 1.15252 0.01733 1.09746 0.02696 0.14
"Gaia DR2 5290710800218328192" 12.96833 0.98762 1.14915 0.01716 1.08933 0.02703 0.31
"Gaia DR2 5290667713106775040" 12.97508 0.94240 1.14974 0.01711 1.09286 0.02645 0.11
"Gaia DR2 5290896480243232896" 12.97848 0.99224 1.14666 0.01715 1.08683 0.02718 0.33
"Gaia DR2 5289601560489109120" 12.99972 0.92268 1.14527 0.01696 1.08964 0.02590 0.15
"Gaia DR2 5289602080178872960" 13.00869 0.92875 1.14325 0.01696 1.08751 0.02610 0.14
"Gaia DR2 5290712449485869056" 13.01599 0.96462 1.14004 0.01682 1.08301 0.02632 0.14
"Gaia DR2 5290914759623592192" 13.01775 0.91096 1.14218 0.01693 1.08739 0.02611 0.19
"Gaia DR2 5289715810913353600" 13.03449 0.97256 1.13602 0.01673 1.07870 0.02559 0.15
"Gaia DR2 5290705199580612224" 13.03637 0.96636 1.13591 0.01674 1.07910 0.02534 0.13
"Gaia DR2 5290814807146918016" 13.04271 0.94473 1.13549 0.01673 1.08055 0.02550 0.12
"Gaia DR2 5290037761662208256" 13.04366 0.81322 1.14078 0.01662 1.08897 0.02630 0.34
"Gaia DR2 5289982713061723008" 13.04900 0.91150 1.13562 0.01669 1.08162 0.02554 0.21
"Gaia DR2 5290770826682093312" 13.06516 0.96901 1.12994 0.01649 1.07357 0.02478 0.12
"Gaia DR2 5290655481040144256" 13.07421 0.95874 1.12855 0.01652 1.07257 0.02451 0.12
"Gaia DR2 5290011235944457088" 13.08108 0.92346 1.12861 0.01649 1.07490 0.02456 0.20
"Gaia DR2 5291031101698322304" 13.09703 0.93930 1.12470 0.01641 1.07044 0.02409 0.16
"Gaia DR2 5290340986354455936" 13.10293 0.93188 1.12389 0.01640 1.07006 0.02406 0.18
"Gaia DR2 5290842672894136064" 13.11514 0.93298 1.12142 0.01629 1.06785 0.02371 0.19
"Gaia DR2 5290836110184083840" 13.11565 1.01713 1.11779 0.01641 1.05806 0.02513 0.30
"Gaia DR2 5291035912061108992" 13.12319 0.91871 1.12047 0.01641 1.06747 0.02375 0.23
"Gaia DR2 5291010004818471680" 13.13078 0.98190 1.11617 0.01640 1.05964 0.02443 0.12
"Gaia DR2 5290823981196998784" 13.14436 0.94930 1.11501 0.01627 1.06074 0.02337 0.16
"Gaia DR2 5290725781064133760" 13.15189 0.97962 1.11228 0.01619 1.05639 0.02379 0.12
"Gaia DR2 5290000721864368768" 13.16605 0.93677 1.11128 0.01615 1.05765 0.02286 0.20
"Gaia DR2 5290886481559461760" 13.18180 0.97297 1.10671 0.01627 1.05138 0.02269 0.13
"Gaia DR2 5290844734478459648" 13.18797 0.92986 1.10720 0.01620 1.05375 0.02271 0.23
"Gaia DR2 5289844213255345920" 13.18873 0.99491 1.10436 0.01624 1.04819 0.02240 0.12
"Gaia DR2 5289982957879844608" 13.19073 0.98991 1.10420 0.01617 1.04843 0.02225 0.12
"Gaia DR2 5290951112226990336" 13.20695 0.96307 1.10221 0.01594 1.04777 0.02138 0.16
"Gaia DR2 5290719836829549056" 13.20814 0.99951 1.10033 0.01606 1.04504 0.02174 0.13
"Gaia DR2 5290667472588665600" 13.20902 0.96018 1.10182 0.01596 1.04774 0.02132 0.17
"Gaia DR2 5291005297534450560" 13.21527 0.96909 1.10025 0.01603 1.04617 0.02175 0.15
"Gaia DR2 5291093533342800512" 13.22167 1.20363 1.08913 0.01596 0.99708 0.02344 0.81
"Gaia DR2 5290757014067554688" 13.22373 0.97612 1.09837 0.01606 1.04482 0.02134 0.14
"Gaia DR2 5290713652076611200" 13.23690 1.02612 1.09369 0.01599 1.03808 0.02356 0.20
"Gaia DR2 5290668602159040512" 13.25045 1.14695 1.08605 0.01594 1.01271 0.02788 0.83
"Gaia DR2 5290000996742276224" 13.25353 0.96161 1.09315 0.01585 1.04127 0.02130 0.19
"Gaia DR2 5289886716251534336" 13.25521 1.05408 1.08903 0.01595 1.03237 0.02343 0.33
"Gaia DR2 5290730144750809472" 13.26573 1.01566 1.08862 0.01593 1.03489 0.02259 0.13
"Gaia DR2 5290994302418060160" 13.26688 0.98704 1.08956 0.01582 1.03741 0.02167 0.13
"Gaia DR2 5291151429501880832" 13.27327 1.03290 1.08650 0.01592 1.03222 0.02283 0.19
"Gaia DR2 5290821060618950912" 13.27369 0.98603 1.08837 0.01587 1.03613 0.02165 0.14
"Gaia DR2 5290718943476432512" 13.28637 1.01394 1.08469 0.01584 1.03203 0.02236 0.12
"Gaia DR2 5290779176098269696" 13.29142 0.89795 1.08865 0.01586 1.03887 0.02126 0.31
"Gaia DR2 5290935375466863104" 13.30111 0.98250 1.08335 0.01576 1.03218 0.02174 0.16
"Gaia DR2 5290769314853433600" 13.30113 1.20572 1.07392 0.01563 0.98614 0.02380 0.83
"Gaia DR2 5290753230194611968" 13.31054 0.97358 1.08177 0.01565 1.03111 0.02148 0.19
"Gaia DR2 5289873315953700608" 13.31607 1.02644 1.07874 0.01580 1.02594 0.02213 0.13
"Gaia DR2 5289839609050551552" 13.32468 1.03724 1.07647 0.01572 1.02263 0.02310 0.16
"Gaia DR2 5290745881512256000" 13.32502 0.98364 1.07885 0.01576 1.02833 0.02122 0.17
"Gaia DR2 5290710903297629824" 13.33166 1.20735 1.06801 0.01561 0.98269 0.02424 0.84
"Gaia DR2 5290704581105449856" 13.33591 1.05764 1.07354 0.01554 1.01947 0.02324 0.25
"Gaia DR2 5290793366670504320" 13.34709 1.01169 1.07336 0.01556 1.02199 0.02245 0.12
"Gaia DR2 5289913207611441024" 13.35851 1.01062 1.07130 0.01566 1.02027 0.02253 0.13
"Gaia DR2 5290742411177350144" 13.36314 0.99000 1.07131 0.01565 1.02116 0.02229 0.18
"Gaia DR2 5291114424063215232" 13.36613 1.00064 1.07040 0.01563 1.01993 0.02231 0.15
"Gaia DR2 5291030208344498560" 13.37995 0.97852 1.06856 0.01558 1.01905 0.02220 0.22
"Gaia DR2 5290740452672243968" 13.38048 1.03500 1.06621 0.01554 1.01522 0.02339 0.12
"Gaia DR2 5290761068516409216" 13.38546 0.99825 1.06681 0.01559 1.01720 0.02258 0.17
"Gaia DR2 5290817281048004736" 13.41116 1.02581 1.06086 0.01547 1.01060 0.02404 0.12
"Gaia DR2 5290341261232279680" 13.44111 1.00408 1.05633 0.01540 1.00750 0.02485 0.19
"Gaia DR2 5290816490774016128" 13.44329 1.01547 1.05533 0.01539 1.00656 0.02488 0.16
"Gaia DR2 5290816731292063872" 13.45825 1.00123 1.05331 0.01541 1.00532 0.02488 0.20
"Gaia DR2 5290423346646600704" 13.46777 1.05368 1.04935 0.01524 0.99948 0.02578 0.12
"Gaia DR2 5290829478754780288" 13.48737 1.18469 1.04046 0.01516 0.97590 0.02805 0.76
"Gaia DR2 5291002445676294016" 13.49164 1.03230 1.04600 0.01541 0.99687 0.02598 0.14
"Gaia DR2 5290847208379612544" 13.49840 1.02200 1.04504 0.01526 0.99652 0.02603 0.17
"Gaia DR2 5290767047110673280" 13.50124 1.02420 1.04443 0.01524 0.99585 0.02583 0.17
"Gaia DR2 5290036937028491008" 13.51261 1.01150 1.04286 0.01520 0.99490 0.02584 0.21
"Gaia DR2 5290762752143565184" 13.52794 1.03663 1.03911 0.01518 0.98925 0.02615 0.15
"Gaia DR2 5290721726615163648" 13.53404 1.05423 1.03736 0.01523 0.98651 0.02636 0.12
"Gaia DR2 5290902733714916864" 13.53618 1.06293 1.03650 0.01519 0.98558 0.02632 0.11
"Gaia DR2 5289888262439659136" 13.55798 1.06080 1.03284 0.01503 0.98243 0.02602 0.12
"Gaia DR2 5290007387653835648" 13.56379 1.01548 1.03361 0.01504 0.98522 0.02572 0.22
"Gaia DR2 5290772029272852864" 13.57508 1.05857 1.02981 0.01516 0.98030 0.02561 0.13
"Gaia DR2 5290997291715292800" 13.57610 1.07999 1.02877 0.01509 0.97771 0.02605 0.12
"Gaia DR2 5291173522814752640" 13.57828 1.06522 1.02898 0.01508 0.97907 0.02607 0.12
"Gaia DR2 5289806726781358464" 13.58319 1.14360 1.02495 0.01502 0.96988 0.02605 0.41
"Gaia DR2 5289951690518300416" 13.58431 1.03883 1.02896 0.01505 0.98052 0.02536 0.18
"Gaia DR2 5290722242011168512" 13.58524 1.07008 1.02749 0.01497 0.97727 0.02600 0.12
"Gaia DR2 5290034909804081792" 13.58574 1.02986 1.02911 0.01516 0.98081 0.02527 0.20
"Gaia DR2 5290019791519261824" 13.59162 1.03329 1.02788 0.01496 0.97974 0.02541 0.20
"Gaia DR2 5290204784351738624" 13.59337 1.05703 1.02658 0.01502 0.97732 0.02585 0.14
"Gaia DR2 5289698768483305216" 13.60081 1.20963 1.01908 0.01485 0.95612 0.02629 0.74
"Gaia DR2 5290898404387972736" 13.60657 1.05950 1.02431 0.01492 0.97554 0.02554 0.14
"Gaia DR2 5290671527037565696" 13.61889 1.05367 1.02224 0.01498 0.97417 0.02530 0.16
"Gaia DR2 5290669568532575232" 13.61904 1.10384 1.02013 0.01491 0.96961 0.02534 0.16
"Gaia DR2 5290646410069174400" 13.61928 1.07932 1.02120 0.01509 0.97123 0.02542 0.12
"Gaia DR2 5290767115830162560" 13.62129 1.14789 1.01804 0.01490 0.96386 0.02525 0.38
"Gaia DR2 5290799444043059584" 13.63514 1.06390 1.01889 0.01477 0.97090 0.02494 0.15
"Gaia DR2 5290951455824379264" 13.63599 1.06291 1.01875 0.01480 0.97091 0.02493 0.15
"Gaia DR2 5290723925638255104" 13.64970 1.13629 1.01348 0.01490 0.96106 0.02563 0.28
"Gaia DR2 5289787073010871424" 13.65375 1.13353 1.01296 0.01497 0.96074 0.02557 0.26
"Gaia DR2 5290643248973350016" 13.66929 1.27461 1.00457 0.01479 0.92991 0.02406 0.85
"Gaia DR2 5289926676628726400" 13.67175 1.08112 1.01182 0.01479 0.96412 0.02511 0.13
"Gaia DR2 5291573676326821248" 13.67463 1.06148 1.01212 0.01476 0.96517 0.02501 0.17
"Gaia DR2 5290815082024737152" 13.67868 1.26898 1.00303 0.01465 0.93086 0.02502 0.85
"Gaia DR2 5290645860313348608" 13.68374 1.12160 1.00825 0.01469 0.95800 0.02572 0.17
"Gaia DR2 5290720798902314240" 13.69494 1.11677 1.00653 0.01467 0.95727 0.02576 0.14
"Gaia DR2 5290954994877585920" 13.70023 1.25872 0.99993 0.01459 0.93239 0.02664 0.83
"Gaia DR2 5290946782899935872" 13.72024 1.06525 1.00409 0.01466 0.95882 0.02462 0.19
"Gaia DR2 5290732721731067136" 13.72323 1.18995 0.99877 0.01459 0.94656 0.02596 0.50
"Gaia DR2 5290097272729673344" 13.73148 1.21207 0.99636 0.01453 0.94313 0.02616 0.61
"Gaia DR2 5290725368747361920" 13.73486 1.14203 0.99868 0.01453 0.95001 0.02508 0.21
"Gaia DR2 5290722070212556544" 13.75315 1.27027 0.99046 0.01452 0.92505 0.02693 0.82
"Gaia DR2 5290409190434650496" 13.75662 1.10844 0.99616 0.01449 0.95073 0.02471 0.12
"Gaia DR2 5290118575767127296" 13.79002 0.91209 0.99839 0.01449 0.95928 0.02248 0.37
"Gaia DR2 5290664070974413696" 13.79506 1.10948 0.98965 0.01447 0.94704 0.02443 0.13
"Gaia DR2 5290672351671291776" 13.80157 1.09463 0.98918 0.01442 0.94751 0.02397 0.17
"Gaia DR2 5290752787819629056" 13.80379 1.09700 0.98874 0.01441 0.94716 0.02403 0.16
"Gaia DR2 5290657989300789632" 13.80628 1.22860 0.98316 0.01443 0.93192 0.02596 0.60
"Gaia DR2 5291094839012934272" 13.82141 1.15125 0.98360 0.01437 0.94032 0.02452 0.16
"Gaia DR2 5291106624402757632" 13.83633 1.01475 0.98630 0.01437 0.94847 0.02289 0.31
"Gaia DR2 5290850609994130560" 13.83860 1.09930 0.98282 0.01431 0.94301 0.02330 0.18
"Gaia DR2 5289926401750888064" 13.84902 1.16440 0.97830 0.01436 0.93548 0.02491 0.19
"Gaia DR2 5290641943303303168" 13.85240 1.13754 0.97887 0.01427 0.93815 0.02428 0.12
"Gaia DR2 5290795119017167232" 13.85768 1.09300 0.97975 0.01425 0.94186 0.02270 0.20
"Gaia DR2 5289563391113602304" 13.87148 1.12272 0.97645 0.01425 0.93743 0.02276 0.14
"Gaia DR2 5290653350736340736" 13.87356 1.31842 0.96849 0.01418 0.89773 0.02537 0.85
"Gaia DR2 5290923452637893376" 13.90193 1.18157 0.96911 0.01423 0.92677 0.02439 0.21
"Gaia DR2 5290672557829815296" 13.90880 1.14755 0.96927 0.01425 0.92965 0.02312 0.12
"Gaia DR2 5290888199546264576" 13.91427 1.11938 0.96943 0.01425 0.93186 0.02249 0.17
"Gaia DR2 5290618956638156672" 13.91703 1.17462 0.96687 0.01417 0.92622 0.02372 0.16
"Gaia DR2 5290703687752332544" 13.91743 1.23349 0.96451 0.01405 0.91925 0.02561 0.48
"Gaia DR2 5290724681552585088" 13.94330 1.15449 0.96325 0.01404 0.92603 0.02289 0.12
"Gaia DR2 5289877576561348480" 13.95270 1.13761 0.96235 0.01419 0.92633 0.02227 0.15
"Gaia DR2 5289751579400878336" 13.95388 1.26165 0.95743 0.01389 0.91067 0.02615 0.59
"Gaia DR2 5290635414952667392" 13.95560 1.23430 0.95813 0.01402 0.91523 0.02553 0.43
"Gaia DR2 5289992372447986816" 13.96017 1.15544 0.96057 0.01409 0.92424 0.02274 0.12
"Gaia DR2 5290730385268977536" 13.96717 1.14330 0.95991 0.01395 0.92480 0.02228 0.14
"Gaia DR2 5289914478921674880" 13.97597 1.20068 0.95622 0.01388 0.91719 0.02404 0.22
"Gaia DR2 5290411252018835584" 13.97858 1.38557 0.94877 0.01382 0.86993 0.02129 0.83
"Gaia DR2 5291244853630884096" 13.98369 1.16808 0.95623 0.01388 0.92032 0.02275 0.12
"Gaia DR2 5290704409306836608" 13.99381 1.23677 0.95202 0.01394 0.90934 0.02575 0.39
"Gaia DR2 5290726262100476032" 14.00031 1.16139 0.95370 0.01418 0.91890 0.02265 0.13
"Gaia DR2 5290740830629369344" 14.00122 1.18661 0.95271 0.01398 0.91578 0.02354 0.14
"Gaia DR2 5290815185103954048" 14.00313 1.14922 0.95371 0.01418 0.91954 0.02218 0.15
"Gaia DR2 5290770448724704896" 14.00322 1.20259 0.95177 0.01393 0.91338 0.02410 0.19
"Gaia DR2 5290840954907199872" 14.00753 1.15254 0.95299 0.01397 0.91895 0.02213 0.14
"Gaia DR2 5290768971256039296" 14.01374 1.16152 0.95168 0.01389 0.91725 0.02221 0.13
"Gaia DR2 5289975364377712256" 14.01388 1.19417 0.95023 0.01391 0.91319 0.02347 0.15
"Gaia DR2 5290645791593868288" 14.01886 1.14286 0.95160 0.01388 0.91804 0.02175 0.17
"Gaia DR2 5290069578780607616" 14.03047 1.13315 0.94993 0.01388 0.91713 0.02166 0.20
